time_stamp,x,y,covariance,id
1,4.61468832279,-0.123463330885,"[0.0, 0.0, 0.0, 0.0]",0
1,4.60092788151,-2.48417342847,"[0.0, 0.0, 0.0, 0.0]",1
1,3.05317697447,1.75338437371,"[0.0, 0.0, 0.0, 0.0]",2
1,5.78623384462,-1.14094953535,"[0.0, 0.0, 0.0, 0.0]",3
1,6.89844325781,-2.08310671414,"[0.0, 0.0, 0.0, 0.0]",4
1,5.14842283183,0.888079436541,"[0.0, 0.0, 0.0, 0.0]",5
1,5.3128614986,-2.51168493912,"[0.0, 0.0, 0.0, 0.0]",6
1,7.17542309384,0.850007394815,"[0.0, 0.0, 0.0, 0.0]",7
1,3.8000090625,-2.32911467522,"[0.0, 0.0, 0.0, 0.0]",8
1,3.64108404722,0.936398485219,"[0.0, 0.0, 0.0, 0.0]",9
1,4.09812798615,-1.05730064215,"[0.0, 0.0, 0.0, 0.0]",10
2,4.6294594106,-0.123740824172,"[0.0, 0.0, 0.0, 0.0]",0
2,3.07756447671,1.76819560824,"[0.0, 0.0, 0.0, 0.0]",1
2,4.61005227019,-2.49032159065,"[0.0, 0.0, 0.0, 0.0]",2
2,5.82124034472,-1.14785340648,"[0.0, 0.0, 0.0, 0.0]",3
2,6.91669627605,-2.08888097797,"[0.0, 0.0, 0.0, 0.0]",4
2,5.2546450544,-2.48523843582,"[0.0, 0.0, 0.0, 0.0]",5
2,5.17530757258,0.893325798596,"[0.0, 0.0, 0.0, 0.0]",6
2,7.05883409536,0.836980288484,"[0.0, 0.0, 0.0, 0.0]",7
2,3.79195972776,-2.32492703081,"[0.0, 0.0, 0.0, 0.0]",8
2,3.61647799059,0.92962939598,"[0.0, 0.0, 0.0, 0.0]",9
2,4.11134572099,-1.0599821462,"[0.0, 0.0, 0.0, 0.0]",10
3,15.9762603055,9.82590347581,"[0.0, 0.0, 0.0, 0.0]",0
3,6.7484352475,4.19303536982,"[0.0, 0.0, 0.0, 0.0]",1
3,13.66454613,7.72449788497,"[0.0, 0.0, 0.0, 0.0]",2
3,9.43194189443,1.01643651243,"[0.0, 0.0, 0.0, 0.0]",3
3,19.3052203763,4.59436326897,"[0.0, 0.0, 0.0, 0.0]",4
4,4.63058786236,-0.122352790366,"[0.0, 0.0, 0.0, 0.0]",0
4,3.04990302955,1.75081120039,"[0.0, 0.0, 0.0, 0.0]",1
4,4.59921028367,-2.48509165537,"[0.0, 0.0, 0.0, 0.0]",2
4,5.813727074,-1.14621754741,"[0.0, 0.0, 0.0, 0.0]",3
4,6.93256373842,-2.0945429323,"[0.0, 0.0, 0.0, 0.0]",4
4,5.12760136695,0.884176824753,"[0.0, 0.0, 0.0, 0.0]",5
4,5.26270245813,-2.49077943303,"[0.0, 0.0, 0.0, 0.0]",6
4,7.09625453621,0.84109303528,"[0.0, 0.0, 0.0, 0.0]",7
4,3.79975068161,-2.32959050822,"[0.0, 0.0, 0.0, 0.0]",8
4,3.65014522208,0.939037286259,"[0.0, 0.0, 0.0, 0.0]",9
4,4.14612550422,-1.06992591101,"[0.0, 0.0, 0.0, 0.0]",10
5,4.62105761913,-0.123270926337,"[0.0, 0.0, 0.0, 0.0]",0
5,3.06970689795,1.76336078102,"[0.0, 0.0, 0.0, 0.0]",1
5,4.58825552108,-2.47871824104,"[0.0, 0.0, 0.0, 0.0]",2
5,5.81913841566,-1.14700493094,"[0.0, 0.0, 0.0, 0.0]",3
5,6.9303816427,-2.09332409488,"[0.0, 0.0, 0.0, 0.0]",4
5,5.2458598135,-2.48115039695,"[0.0, 0.0, 0.0, 0.0]",5
5,5.15262321729,0.88877333571,"[0.0, 0.0, 0.0, 0.0]",6
5,7.16550804324,0.849293410817,"[0.0, 0.0, 0.0, 0.0]",7
5,3.79515852147,-2.32638334326,"[0.0, 0.0, 0.0, 0.0]",8
5,3.58703259753,0.921461869853,"[0.0, 0.0, 0.0, 0.0]",9
